model,hyperparam,tau,F2_w,AUC_PR_w
svm,0.22,0.8875,0.7007186809711101,0.7283018163872901
svm,0.22,0.89,0.7058087024994877,0.7283018163872901
svm,0.22,0.8925,0.7071253519135497,0.7283018163872901
svm,0.22,0.895,0.7007766752409441,0.7283018163872901
svm,0.22,0.8975,0.7007766752409441,0.7283018163872901
svm,0.22,0.9,0.7016939476535435,0.7283018163872901
svm,0.22,0.9025,0.7000833638015048,0.7283018163872901
svm,0.22,0.905,0.7000833638015048,0.7283018163872901
svm,0.22,0.9075,0.70629822952746,0.7283018163872901
svm,0.22,0.91,0.7066139757937604,0.7283018163872901
svm,0.22,0.9125,0.7009931405079295,0.7283018163872901
svm,0.22,0.915,0.7027155860961338,0.7283018163872901
svm,0.22,0.9175,0.7013074767616267,0.7283018163872901
svm,0.22,0.92,0.7013074767616267,0.7283018163872901
svm,0.22,0.9225,0.7016867602950321,0.7283018163872901
svm,0.22,0.925,0.702078479354123,0.7283018163872901
svm,0.22,0.9275,0.6998130442271305,0.7283018163872901
svm,0.22,0.93,0.6946527990156365,0.7283018163872901
svm,0.22,0.9325,0.6946527990156365,0.7283018163872901
svm,0.22,0.935,0.6914346820111307,0.7283018163872901
svm,0.22,0.9375,0.6914346820111307,0.7283018163872901
svm,0.22,0.94,0.6928512819865799,0.7283018163872901
svm,0.22,0.9425,0.695817354825876,0.7283018163872901
svm,0.22,0.945,0.6848490377757109,0.7283018163872901
svm,0.22,0.9475,0.6852097881364613,0.7283018163872901
svm,0.22,0.95,0.6686727452623406,0.7283018163872901
svm,0.22,0.9525,0.6686727452623406,0.7283018163872901
svm,0.22,0.955,0.6696169097658272,0.7283018163872901
svm,0.22,0.9575,0.6716397933789239,0.7283018163872901
svm,0.22,0.96,0.672805294544425,0.7283018163872901
svm,0.22,0.9625,0.6644301880067718,0.7283018163872901
svm,0.22,0.965,0.6647686572952455,0.7283018163872901
svm,0.22,0.9675,0.6647686572952455,0.7283018163872901
svm,0.22,0.97,0.6550060953924078,0.7283018163872901
svm,0.22,0.9725,0.6592271311657093,0.7283018163872901
svm,0.22,0.975,0.6554372365758655,0.7283018163872901
svm,0.22,0.9775,0.6532904802324665,0.7283018163872901
svm,0.22,0.98,0.6452470833001807,0.7283018163872901
svm,0.22,0.9825,0.6393098828996264,0.7283018163872901
svm,0.22,0.985,0.6403144157669044,0.7283018163872901
svm,0.22,0.9875,0.6403144157669044,0.7283018163872901
svm,0.22,0.99,0.6423458044540665,0.7283018163872901
svm,0.22,0.9925,0.6475584244815015,0.7283018163872901
svm,0.22,0.995,0.6367824587336782,0.7283018163872901
svm,0.22,0.9975,0.6138106391729581,0.7283018163872901
svm,0.22,1.0,0.6138106391729581,0.7283018163872901
